routeid,region,variable,long,lat,height,varep
14,AS,long12,81.5114914183274,42.9782530101196,2735.0615630495,-685.035652634213
15,ATO,long12,7.77122527324553,35.928777126083,7487.71612837916,-1127.89114208709
16,NA,long12,-84.013929843238,35.5087605160766,7847.06799020968,-1415.51556028441
17,ATO,long12,27.8096372303754,46.4778825595996,7300.70170776567,-1452.68433576809
18,AS,long12,88.8565242193924,25.2207684487918,3039.13559107338,-3606.76018852595
19,AS,long12,43.8574641521066,22.8817961146905,4535.03063813571,765.170140907795
20,BS,long12,71.2512380057771,45.3642515045622,5127.9883380555,-549.512178132773
1,AS,long13,108.747682236274,28.7200545857734,3104.41252905027,1439.35108781911
2,CS,long13,66.4522052715663,34.3975538331084,3110.12016234173,4488.06806156036
3,ATO,long13,-33.0975597436242,33.5972447680783,8147.48329929543,-5564.34531652087
4,AS,long13,98.7311921656672,41.3133157048561,2388.51230696775,1598.19332235475
5,ATO,long13,-12.3367008039916,33.103985030708,7373.86599849485,-2351.32579321009
6,NAF,long13,33.245460665894,34.6933009947881,6104.51767631395,-744.981030046774
7,EU,long13,51.7526800464002,51.0189949767818,6325.21571886952,-1030.30763905089
8,NA,long13,3.16054484031776,44.9599948697793,7658.6006614251,-1196.64358324153
9,AS,long13,-108.964734316869,38.9052602529974,9278.35892287997,-30.5853026731903
10,NAF,long13,11.7875742248818,25.9175780755513,5308.62207633282,-459.720145546537
11,MS,long13,53.0052534447266,34.4510174794893,4936.24669520755,-45.2844359836477
12,NA,long13,-39.2935906200189,43.0821915500831,8336.40747766298,-1965.35299314504
13,IO,long13,74.9399437430875,21.1485372629873,2988.10596642187,5034.31471025812
14,AS,long13,82.2404373418567,42.7609254122503,2681.06974929213,1711.61685799461
15,ATO,long13,11.6832285329743,35.8080813200769,7437.4805784664,-1166.93104053097
16,NA,long13,-77.5040657206151,35.8139275652939,7918.34661813357,-1423.68828475888
17,ATO,long13,33.3091750812267,46.2988563692927,7255.84706757582,-989.586637705783
18,AS,long13,89.1376807668417,25.2682322019059,3061.09112766374,1812.87485836145
19,AS,long13,44.0722927004444,23.1447999597495,4474.38227381841,180.313123698889
20,BS,long13,74.031969561246,44.8727439071554,4866.68354692331,2338.96882147555
1,AS,long14,108.379222838678,28.699766046348,3103.16963436183,2783.76192001274
2,CS,long14,67.2197252550724,34.294245208404,3007.93575646111,9211.41919908524
3,ATO,long14,-29.3233197115302,33.7560320839857,8236.27967506408,-5203.35030555674
4,AS,long14,99.2246240458532,40.9544929085599,2332.07728256922,3906.83707569465
5,ATO,long14,-9.2119332349473,33.1491301972152,7330.01717382846,-2375.51254456883
6,NAF,long14,35.998588986295,34.9108530895834,6018.81097871357,1044.83482544359
7,EU,long14,53.95312568921,50.394000244895,6237.7500772469,519.781465387809
8,NA,long14,9.58167894318955,44.5024680533703,7644.9101945199,-1035.38512640531
9,AS,long14,-101.638735327066,39.0059816025475,9243.37347759546,-36.8079966418097
10,NAF,long14,12.8325671669571,26.1307273851259,5285.51537456623,176.935175195065
11,MS,long14,55.7048676701875,34.5786666083908,4793.77881616757,2776.7280665367
12,NA,long14,-31.4541938736735,43.7396930633352,8422.72413062296,-2329.89948577104
13,IO,long14,75.6860155019656,21.2183810458953,2955.04438641624,9943.79729673576
14,AS,long14,82.9084117687846,42.5324280535463,2600.05260642347,4403.59969572065
15,ATO,long14,15.5659439592142,35.711799018329,7399.92919980498,-630.466707051919
16,NA,long14,-70.6658961055963,36.2151212533493,8011.13406808269,-1878.95803581544
17,ATO,long14,38.7590842761821,46.1729168226803,7196.50982673342,-253.992902579424
18,AS,long14,89.3913491499963,25.3331333069744,3050.451118761,4833.31578400525
19,AS,long14,44.3782421897551,23.4659302582329,4432.55841266601,1408.58202240846
20,BS,long14,76.573986658448,44.4287008645916,4595.08946197163,4360.08499119339
1,AS,long15,107.911678217117,28.7009812743501,3090.69211343964,-1368.8242849585
2,CS,long15,67.9710264811212,34.1975409375377,2902.07932047983,2142.07123443157
3,ATO,long15,-25.4813391864198,33.8558143246233,8297.222540045,-3706.05604632253
4,AS,long15,99.5811785706874,40.563988187609,2260.37544567691,-111.239120778091
5,ATO,long15,-5.93869019914549,33.2316888346178,7288.28027375633,-2587.20193917372
6,NAF,long15,38.8309522574057,35.1643971786358,5933.68894055296,-29.1538468808417
7,EU,long15,56.0757947116448,49.7653393751609,6123.95453309366,4.60058428990249
8,NA,long15,15.5395576639452,44.1710816726921,7637.70721074933,-716.148594829839
9,AS,long15,-93.2095133652473,39.0934911449787,9223.87891675593,24.5419818596726
10,NAF,long15,14.421267954683,26.4165304633445,5275.26395961295,60.1926010072626
11,MS,long15,58.2851558246902,34.6574697366863,4640.70125963287,146.475837938136
12,NA,long15,-23.6068996940799,43.9728388838012,8481.78029347169,-1702.92483613364
13,IO,long15,76.4342415409191,21.3122241516428,2916.35110303399,2198.558579408
14,AS,long15,83.4536442324258,42.2531419995396,2510.58958891864,-298.892885667547
15,ATO,long15,19.4662992610587,35.6570776148958,7354.63096645087,-806.258082397824
16,NA,long15,-63.5218159509511,36.7606556652598,8140.19709651783,-1603.70612534451
17,ATO,long15,44.1465504280606,46.0204895971491,7109.97325185609,-337.225882839517
18,AS,long15,89.5966929647169,25.3994503634103,3051.69776463853,-1356.67355847286
19,AS,long15,44.7849455856429,23.8261115683265,4396.67793933741,603.335299144073
20,BS,long15,78.9838558710276,43.9640903235736,4357.29457885765,581.405774638603
1,AS,long16,107.376416466252,28.7421821082178,3088.89748612544,-2572.46882516154
2,CS,long16,68.6769081613637,34.0985621418297,2810.50039185794,-107.221800373446
3,ATO,long16,-21.5535114428256,33.8560696458482,8312.77447434044,-3121.04533019509
4,AS,long16,99.8760600941345,40.1760918330322,2227.28481681443,451.690005729785
5,ATO,long16,-2.42984742550422,33.3254055888595,7246.09855008359,-2422.51656063824
6,NAF,long16,41.7369440384378,35.3944585988262,5846.05001990375,-747.112267840739
7,EU,long16,58.1966215913036,49.113848783477,5979.0913328704,-828.208660434738
8,NA,long16,21.322968438716,43.90951566843,7612.70434209658,-954.513772711698
9,AS,long16,-84.1158425460865,39.2221992605416,9218.85297690367,32.5753948192419
10,NAF,long16,16.2151717464749,26.737185669419,5251.62692115369,-363.206637488063
11,MS,long16,60.7123466057911,34.6657351418724,4475.07941817433,-481.053832978095
12,NA,long16,-16.0390032268793,43.6529703052387,8499.30852750723,-1516.08045580148
13,IO,long16,77.1637569608145,21.4370863510019,2906.42206134305,-507.196845144264
14,AS,long16,83.8830849572733,41.9800246937302,2458.03906169068,-490.831137164743
15,ATO,long16,23.386962663034,35.6096295727308,7277.57676384581,-852.251641982474
16,NA,long16,-56.1555960110275,37.4420665735592,8276.71289532348,-1914.83944455226
17,ATO,long16,49.3230583503402,45.7592695829765,6984.43878622657,-647.810422255261
18,AS,long16,89.7078752269559,25.4803875748614,3081.15334465194,-4292.87956352836
19,AS,long16,45.2946368528931,24.2152328718468,4352.65902366199,315.417589141037
20,BS,long16,81.1611507188941,43.4640237672105,4166.13844167928,-111.933171074887
1,AS,long17,106.826368364058,28.7992023502593,3095.6063847213,1310.93732762754
2,CS,long17,69.3478545465535,34.0336757562224,2742.10726320944,5793.1665026168
3,ATO,long17,-17.5376812437663,33.7296567577333,8289.31370377626,-2567.31256790219
4,AS,long17,100.19573144846,39.7863451447677,2222.72555730463,2105.36475421085
5,ATO,long17,1.31836586943449,33.4214597252847,7216.17788297254,-2207.73615540429
6,NAF,long17,44.6767801276724,35.6180004503752,5759.36202072154,-566.18137003084
7,EU,long17,60.370375840868,48.4746898604586,5810.8216090914,242.159776792774
8,NA,long17,27.0551134357089,43.7057017715662,7560.37263721614,-828.930035327997
9,AS,long17,-74.7115880918427,39.4560858222162,9190.57674319847,94.6960114606532
