routeid,region,variable,long,lat
14,AS,long23,87.1547665895898,40.044782625671
15,ATO,long23,50.8895522522667,36.6912236047256
16,NA,long23,-5.6553025068241,38.9746121053264
17,ATO,long23,75.8958920572958,42.1502746093982
18,AS,long23,89.77139853248,26.5732522975296
19,AS,long23,52.888581776354,28.1743212810679
20,BS,long23,91.3055871490814,40.3543631476225
1,AS,long24,102.358228344081,29.3686444426086
2,CS,long24,74.0460175740498,33.9022898476556
3,ATO,long24,15.6161202689444,32.7379996297294
4,AS,long24,101.159630126342,37.1394612677912
5,ATO,long24,32.950725879876,35.1651106714969
6,NAF,long24,63.6007590737588,36.3037372216218
7,EU,long24,74.8790193977797,43.6301807787513
8,NA,long24,61.1152664569224,41.446782249119
9,AS,long24,-7.59370906157867,40.6154168696251
10,NAF,long24,36.5973540539225,31.3283680425421
11,MS,long24,75.520386968072,34.4984228681427
12,NA,long24,33.0949806131113,38.871041763216
13,IO,long24,81.6532432949385,23.4930067025797
14,AS,long24,87.5439491949823,39.7167039289908
15,ATO,long24,54.5779208305011,36.7052467710256
16,NA,long24,0.807962344904922,38.6757647747847
17,ATO,long24,78.0392091621285,41.2043357132977
18,AS,long24,89.7768266238454,26.7785215110587
19,AS,long24,54.6121973708749,28.8184337968498
20,BS,long24,92.1921348287123,39.8667114214542
1,AS,long25,101.843359857104,29.4403015125112
2,CS,long25,74.7094291596799,33.9093930112406
3,ATO,long25,21.0690643984184,32.9570272360629
4,AS,long25,101.164812833037,36.8672995007164
5,ATO,long25,37.7265852085339,35.4568169873435
6,NAF,long25,65.932978655174,36.1751095471105
7,EU,long25,76.312812349699,42.9092838419095
8,NA,long25,64.5879462324707,40.8425549688259
9,AS,long25,0.950545529632774,40.4944201836443
10,NAF,long25,40.0246287255606,32.0801966802597
11,MS,long25,76.8489957838632,34.3852466739181
12,NA,long25,38.5628634303864,38.5562727813019
13,IO,long25,82.0811475309634,23.9482695390003
14,AS,long25,87.9677455318282,39.424457142675
15,ATO,long25,58.0895102530232,36.6268067243542
16,NA,long25,7.29721699613749,38.2946160799133
17,ATO,long25,79.7306044730148,40.2865466277128
18,AS,long25,89.7937747227982,27.013065367274
19,AS,long25,56.4793070700444,29.4489765977475
20,BS,long25,92.8820029163329,39.4067108495739
1,AS,long26,101.318428233245,29.4869388765656
2,CS,long26,75.4251120204201,33.9289514569955
3,ATO,long26,26.6219960474969,33.3228464462522
4,AS,long26,101.110741041617,36.5843971028326
5,ATO,long26,42.4704368465218,35.7702865962561
6,NAF,long26,68.1468992801158,36.0516550066232
7,EU,long26,77.651651612827,42.2192895520895
8,NA,long26,67.6677798691298,40.2184927502579
9,AS,long26,9.11205977923069,40.0756388509481
10,NAF,long26,43.6084666389383,32.8525655404074
11,MS,long26,78.0775091229526,34.3081249661366
12,NA,long26,43.8644888054748,38.3107963831987
13,IO,long26,82.5541886354568,24.4259997018631
14,AS,long26,88.4162496879803,39.0913424601443
15,ATO,long26,61.4223867495848,36.4929048418881
16,NA,long26,13.9329653402612,37.8575001407681
17,ATO,long26,81.1051900639603,39.4952094009518
18,AS,long26,89.8663358714972,27.2520913531217
19,AS,long26,58.4912614302798,30.0655050903329
20,BS,long26,93.3568706663073,38.9366468983751
1,AS,long27,100.713803884901,29.5457052744765
2,CS,long27,76.1623927888988,33.9123326539453
3,ATO,long27,32.2946479522799,33.7723245680242
4,AS,long27,100.928482204206,36.3032965829529
5,ATO,long27,47.1953498783297,36.0290069198662
6,NAF,long27,70.2511708717506,35.9005875212748
7,EU,long27,78.9081681026114,41.509923045183
8,NA,long27,70.4373151413434,39.5599546506921
9,AS,long27,16.8068719172476,39.3195467019681
10,NAF,long27,47.3702977976125,33.5540269262719
11,MS,long27,79.1992861156562,34.2283312495485
12,NA,long27,49.0013145465626,38.0791274754769
13,IO,long27,83.0490109867415,24.9079982535979
14,AS,long27,88.7937011185986,38.704353734464
15,ATO,long27,64.5606173078446,36.2677591110634
16,NA,long27,20.7291447596535,37.3636484706765
17,ATO,long27,82.2867695861242,38.8074359279644
18,AS,long27,89.9539130867106,27.4886393164963
19,AS,long27,60.6502856364429,30.6286005606973
20,BS,long27,93.600152167106,38.4687835982803
1,AS,long28,100.10047864293,29.6425373353621
2,CS,long28,76.8675898827373,33.881358666887
3,ATO,long28,38.0565452096345,34.2148286184108
4,AS,long28,100.6828453594,36.0638086372825
5,ATO,long28,51.8428926171296,36.1530797196511
6,NAF,long28,72.2317604153405,35.7097580110627
7,EU,long28,80.0582896630679,40.7918858528622
8,NA,long28,72.9260397540464,38.8625148906321
